id,common_name,scientific_name,image,light,water,humidity,temp,soil,fertilizer,toxicity,tips
philodendron_moonlight,Philodendron ‘Moonlight’,Philodendron ‘Moonlight’,images/plants/philodendron_moonlight.jpg,"Bright indirect light; avoid direct harsh sun.","Water when top 3–5 cm are dry; do not allow to sit in water.","Prefers 50–70% humidity; tolerates 40–50%.","Ideal 18–27°C (64–81°F).","Aroid mix: potting soil + bark + perlite.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Self-heading plant with chartreuse to lime new leaves; ideal for bright corners indoors."
philodendron_silver_sword,Philodendron ‘Silver Sword’,Philodendron hastatum,images/plants/philodendron_silver_sword.jpg,"Bright indirect light; some gentle morning sun is fine.","Water when top 3–5 cm are dry; reduce in lower light conditions.","Prefers 55–75% humidity; tolerates around 50%.","Ideal 18–28°C (64–82°F).","Chunky aroid mix; stake or moss pole encourages larger leaves.","Feed every 4 weeks in active growth.","Toxic if ingested.","Vining/climbing Philodendron with metallic, bluish-silver foliage; provide support and good humidity for best size and color."
philodendron_pink_princess,Philodendron ‘Pink Princess’,Philodendron erubescens ‘Pink Princess’,images/plants/philodendron_pink_princess.jpg,"Bright, indirect light; essential for stable pink variegation. Avoid strong direct sun on leaves.","Water when top 2–3 cm are dry; avoid extremes of very dry or soggy soil.","Prefers 60–75% humidity; may show crisping below ~50%.","Ideal 18–27°C (64–81°F).","High-quality aroid mix with bark, perlite, and coco coir.","Feed every 4 weeks at low strength; avoid overfeeding which can favor green growth.","Toxic if ingested.","Variegation is unstable; prune green-dominant stems and maintain consistent bright light to encourage pink sectors."
philodendron_white_princess,Philodendron ‘White Princess’,Philodendron erubescens ‘White Princess’,images/plants/philodendron_white_princess.jpg,"Bright indirect light; more light helps maintain white variegation.","Water when the top 2–3 cm are dry; avoid prolonged soggy soil.","Prefers 60–75% humidity; tolerates around 50% with some tip browning.","Ideal 18–26°C (64–79°F).","Chunky, well-aerated aroid mix.","Feed every 4–6 weeks in the growing season at low strength.","Toxic if ingested.","Rotate regularly and prune out heavily green stems to preserve variegation; protect white leaf areas from strong direct sun to prevent burn."
philodendron_white_knight,Philodendron ‘White Knight’,Philodendron erubescens hybrid,images/plants/philodendron_white_knight.jpg,"Bright indirect light; essential for strong variegation.","Water when top 2–3 cm are dry; sensitive to overwatering at the base of the stem.","Prefers 60–80% humidity; may struggle below ~50%.","Ideal 18–27°C (64–81°F).","Very airy aroid mix: soil + bark + perlite + some charcoal.","Feed every 4–6 weeks at low strength.","Toxic if ingested.","Provide a sturdy pole for climbing; keep humidity moderate–high and avoid cold, wet conditions to prevent stem rot."
philodendron_melanochrysum,Philodendron melanochrysum,Philodendron melanochrysum,images/plants/philodendron_melanochrysum.jpg,"Bright indirect light; no harsh direct sun to protect velvety leaves.","Water when top 2–3 cm are dry; prefers consistent, slightly moist but not soggy soil.","Prefers 60–80% humidity; often struggles below 50%.","Ideal 18–26°C (64–79°F).","Very airy aroid mix with high bark content for excellent drainage.","Feed every 4 weeks during active growth at low strength.","Toxic if ingested.","A climbing, velvet-leaf Philodendron that rewards good humidity and a tall support with very large, dramatic foliage."
philodendron_gloriosum,Philodendron gloriosum,Philodendron gloriosum,images/plants/philodendron_gloriosum.jpg,"Bright, indirect light; avoid direct sun on velvety leaves.","Water when top 2–3 cm are dry; do not allow the rhizome to sit in soggy soil.","Prefers 60–80% humidity; may show brown edges below ~50%.","Ideal 18–26°C (64–79°F).","Loose, chunky mix: soil + bark + perlite; grown as a crawler rather than a climber.","Feed every 4–6 weeks in active growth.","Toxic if ingested.","Plant creeps horizontally; use a wide, shallow pot and periodically shift plant forward so the growing edge has room."
philodendron_verrucosum,Philodendron verrucosum,Philodendron verrucosum,images/plants/philodendron_verrucosum.jpg,"Bright, dappled indirect light; no harsh sun.","Keep soil lightly moist; water when top 1–2 cm (½–1 in) are just dry.","Prefers high humidity: 70–85%; often needs 60%+ indoors for best results.","Ideal 18–26°C (64–79°F).","Very airy aroid mix with bark, moss, and perlite; excellent drainage essential.","Feed lightly every 4–6 weeks in warm months.","Toxic if ingested.","Considered a more advanced Philodendron; best in cabinets or rooms with boosted humidity and gentle airflow."
philodendron_billietiae,Philodendron billietiae,Philodendron billietiae,images/plants/philodendron_billietiae.jpg,"Bright, indirect light; can handle a bit of gentle morning sun.","Water when top 3–5 cm are dry; avoid constantly wet soil.","Prefers 60–75% humidity; tolerates ~50% with some slower growth.","Ideal 18–28°C (64–82°F).","Chunky aroid mix with bark/perlite; deep pot to allow root development.","Feed every 4 weeks during growing season.","Toxic if ingested.","Known for long, narrow leaves and orange petioles; provide a stake and space for it to arch and show off its foliage."
philodendron_burle_marx,Philodendron ‘Burle Marx’,Philodendron ‘Burle Marx’,images/plants/philodendron_burle_marx.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry; slightly more in brighter conditions.","Prefers 50–70% humidity; tolerates ~40–50%.","Ideal 18–27°C (64–81°F).","Well-draining, organic-rich aroid mix.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Forms a clumping, low-growing mass of leaves; can be used as an indoor “shrub” in large containers."
philodendron_burle_marx_variegata,Philodendron ‘Burle Marx’ Variegated,Philodendron ‘Burle Marx Variegata’,images/plants/philodendron_burle_marx_variegata.jpg,"Bright indirect light; essential for maintaining variegation.","Water when top 2–3 cm are dry; variegated tissue may be more prone to burn and stress.","Prefers 60–75% humidity; tolerates around 50% with some browning at margins.","Ideal 18–27°C (64–81°F).","Airy aroid mix with plenty of bark and perlite.","Feed lightly every 4–6 weeks; avoid aggressive fertilization.","Toxic if ingested.","Prune very green shoots to maintain variegation; provide bright, stable light for healthy growth."
philodendron_xanadu,Xanadu Philodendron (now Thaumatophyllum xanadu),Philodendron ‘Xanadu’ (horticultural),images/plants/philodendron_xanadu.jpg,"Bright to medium indirect light; tolerates some gentle morning sun.","Water when top 3–5 cm (1–2 in) are dry; prefers evenly moist but not soggy soil.","Comfortable at 40–60% humidity; benefits from 50–70% for lush foliage.","Ideal 18–27°C (64–81°F).","Rich, well-draining potting mix; larger containers help stabilize mature clumps.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Common self-heading, deeply lobed foliage plant; excellent as a floor plant near bright windows."
philodendron_selloum,Tree Philodendron (Selloum / Hope),Thaumatophyllum bipinnatifidum (marketed as Philodendron selloum),images/plants/philodendron_selloum.jpg,"Bright indirect to some direct morning sun; needs strong light for best growth indoors.","Water when top 3–5 cm are dry; large plants may need deep, thorough watering.","Prefers 50–70% humidity; tolerates ~40–50%.","Ideal 18–28°C (64–82°F).","Rich, well-draining mix; choose a large, heavy pot as plant matures.","Feed every 4 weeks in growing season with a balanced fertilizer.","Toxic if ingested (calcium oxalate).","Develops large, dramatic, deeply divided leaves; allow space and avoid cramping plant against walls or furniture."
philodendron_tortum,Philodendron tortum,Philodendron tortum,images/plants/philodendron_tortum.jpg,"Bright indirect light; avoid hot direct sun.","Water when top 3–5 cm are dry; prefers evenly moist but not soggy conditions.","Prefers 60–75% humidity; tolerates ~50% with some slower growth.","Ideal 18–27°C (64–81°F).","Chunky aroid mix with bark and perlite.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Unusual, narrow, deeply cut leaves; support the plant with a stake or moss pole as it climbs."
philodendron_majestic,Philodendron ‘Majestic’,Philodendron sodiroi × P. verrucosum,images/plants/philodendron_majestic.jpg,"Bright, indirect light; avoid harsh sun to protect velvety leaves.","Keep soil lightly moist; water when top 1–2 cm (½–1 in) are just dry.","Prefers 60–80% humidity; often needs 50%+ for best foliage.","Ideal 18–26°C (64–79°F).","Well-draining aroid mix rich in bark, perlite, and some moss.","Feed lightly every 4–6 weeks in warm months.","Toxic if ingested.","Hybrid with velvety, silver-marked foliage; best in bright, humid rooms or plant cabinets with good airflow."
philodendron_micans_lime,Philodendron ‘Lime Micans’,Philodendron hederaceum var.,images/plants/philodendron_micans_lime.jpg,"Bright indirect light enhances chartreuse velvet tones.","Water when top 2–3 cm are dry; avoid letting soil stay soggy.","Prefers 55–75% humidity; tolerates 50%.","Ideal 18–27°C (64–81°F).","Airy aroid mix with bark/perlite.","Feed every 4–6 weeks at low strength.","Toxic if ingested.","More light brings out vibrant gold-green velvet leaves; ideal for moss poles."
philodendron_paraiso_verde,Philodendron ‘Paraiso Verde’,Philodendron sp.,images/plants/philodendron_paraiso_verde.jpg,"Bright indirect light; higher light maintains mottled variegation.","Water when top 2–3 cm are dry; avoid extremes.","Prefers 60–75% humidity.","Ideal 18–27°C (64–81°F).","Well-draining aroid mix.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Variegation can revert; prune greener shoots and ensure bright consistent light."
philodendron_cordatum,Philodendron Cordatum (Neon Heartleaf),Philodendron cordatum,images/plants/philodendron_cordatum.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry.","Prefers 50–70% humidity.","Ideal 18–26°C (64–79°F).","Standard aroid mix.","Feed every 4 weeks in growing season.","Toxic if ingested.","Similar to Lemon Lime but with more consistent golden-green tones."
philodendron_sodiroi,Philodendron Sodiroi,Philodendron sodiroi,images/plants/philodendron_sodiroi.jpg,"Bright indirect light; avoid direct sun.","Water when top 2–3 cm are dry; evenly moist but not wet.","Prefers 60–80% humidity.","Ideal 18–26°C (64–79°F).","Chunky aroid mix with bark and perlite.","Feed lightly every 4 weeks.","Toxic if ingested.","Silver mottling increases with higher humidity and bright filtered light."
philodendron_subhastatum,Philodendron Subhastatum,Philodendron subhastatum,images/plants/philodendron_subhastatum.jpg,"Bright indirect light.","Water when top 3–5 cm are dry; does not like sitting wet.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Well-draining aroid mix.","Feed every 4–6 weeks.","Toxic if ingested.","Unique red underside contrasts with green top; grows quickly on a pole."
philodendron_majesty,Philodendron ‘Majesty’,Philodendron sp.,images/plants/philodendron_majesty.jpg,"Medium to bright indirect; too little light loses dark color.","Water when top 2–3 cm dry; avoid soggy soil.","Prefers 55–75% humidity.","Ideal 18–27°C (64–81°F).","Aroid mix with extra aeration.","Feed every 4 weeks.","Toxic if ingested.","Dark maroon‑green foliage benefits from bright filtered light and a moss pole."
philodendron_dark_lord,Philodendron ‘Dark Lord’,Philodendron sp.,images/plants/philodendron_dark_lord.jpg,"Bright, indirect light; essential for deep coloration.","Water when top 3–5 cm are dry; enjoys slightly moist soil.","Prefers 60–75% humidity.","Ideal 18–27°C (64–81°F).","Very airy aroid mix.","Feed monthly in the growing season.","Toxic if ingested.","Striking dark foliage with red undersides; needs space to grow upright."
philodendron_plowmanii,Philodendron Plowmanii,Philodendron plowmanii,images/plants/philodendron_plowmanii.jpg,"Bright, indirect light.","Water when top 2–3 cm are dry; do not allow to sit in water.","Prefers 60–80% humidity.","Ideal 18–26°C (64–79°F).","Chunky mix with moss, bark, perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Crawling species; prefers wide, shallow pots and high humidity to show wavy leaf texture."
philodendron_mamei,Philodendron Mamei,Philodendron mamei,images/plants/philodendron_mamei.jpg,"Bright indirect light.","Water when top 2–3 cm dry; avoid soggy mix.","Prefers 60–75% humidity.","Ideal 18–26°C (64–79°F).","Well-draining aroid soil with moss.","Feed every 4–6 weeks.","Toxic if ingested.","Silver flecks intensify under brighter filtered light; behaves as a crawler."
philodendron_pedatum,Philodendron Pedatum,Philodendron pedatum,images/plants/philodendron_pedatum.jpg,"Medium to bright indirect light.","Water when top 3–5 cm are dry.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Aroid mix with bark/perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Distinct segmented leaves; provide a tall pole for large mature leaves indoors."
philodendron_joepii,Philodendron Joepii,Philodendron joepii,images/plants/philodendron_joepii.jpg,"Bright, indirect light.","Water when top 2–3 cm are dry.","Prefers 60–80% humidity.","Ideal 18–26°C (64–79°F).","Very airy aroid mix.","Feed every 4–6 weeks.","Toxic if ingested.","Unusual leaf shape with narrow upper blades; best for advanced collectors with stable humidity."
philodendron_bernardopazii,Philodendron Bernardopazii,Philodendron sp. ‘Bernardopazii’,images/plants/philodendron_bernardopazii.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry.","Prefers 60–80% humidity.","Ideal 18–27°C (64–81°F).","Airy aroid mix.","Feed lightly every 4 weeks.","Toxic if ingested.","Long, narrow leaves; prefers climbing support and higher humidity."
philodendron_mcgaspanii,Philodendron McGaspanii,Philodendron mcgaspanii,images/plants/philodendron_mcgaspanii.jpg,"Bright indirect to medium light.","Water when top 3–5 cm dry.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Fast-draining aroid soil.","Feed monthly during growth.","Toxic if ingested.","Large, smooth leaves on a climbing stem; becomes dramatic with size."
philodendron_splendid,Philodendron ‘Splendid’,Philodendron verrucosum × melanochrysum,images/plants/philodendron_splendid.jpg,"Bright indirect; avoid harsh sun on velvet leaves.","Keep soil lightly moist; water when top 1–2 cm dry.","Prefers 65–80% humidity.","Ideal 18–26°C (64–79°F).","Airy aroid mix with moss, bark, perlite.","Feed every 4 weeks at low strength.","Toxic if ingested.","Hybrid with huge velvet leaves; thrives with high humidity, support, and stable temps."
philodendron_elegans,Philodendron Elegans,Philodendron elegans,images/plants/philodendron_elegans.jpg,"Bright, indirect light.","Water when top 3–5 cm are dry.","Prefers 55–75% humidity.","Ideal 18–27°C (64–81°F).","Chunky aroid mix.","Feed every 4–6 weeks.","Toxic if ingested.","Deeply split foliage similar to tortum; climbing support recommended."
philodendron_tripartitum,Philodendron Tripartitum,Philodendron tripartitum,images/plants/philodendron_tripartitum.jpg,"Medium to bright indirect light.","Water when top 3 cm dry.","Prefers 60–75% humidity.","Ideal 18–27°C (64–81°F).","Aroid mix with bark/perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Distinct 3‑lobed leaf shape; climbs aggressively with support."
philodendron_lacerum,Philodendron Lacerum,Philodendron lacerum,images/plants/philodendron_lacerum.jpg,"Bright indirect light.","Water when top 3–5 cm dry.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Chunky aroid soil.","Feed monthly.","Toxic if ingested.","Large upright leaves with heavy lobing; grows well as a floor plant."
philodendron_goldie,Philodendron Goldie,Philodendron sp. ‘Goldie’,images/plants/philodendron_goldie.jpg,"Bright indirect light.","Water when top 3 cm dry.","Prefers 60–75% humidity.","Ideal 18–27°C.","Aroid mix.","Feed every 4 weeks.","Toxic if ingested.","Rare self-heading hybrid with chartreuse tones; protect from strong sun."
philodendron_green_congo,Philodendron ‘Congo Green’,Philodendron ‘Green Congo’,images/plants/philodendron_green_congo.jpg,"Medium to bright indirect light; tolerates medium light indoors.","Water when the top 3–5 cm (1–2 in) of soil are dry; keep evenly moist, never soggy.","Comfortable at 40–60% humidity; grows fuller at 50–70%.","Ideal 18–27°C (64–81°F); avoid temps below 15°C (59°F).","Rich, well-draining potting mix with some bark and perlite.","Feed every 4–6 weeks in spring and summer with a balanced fertilizer at low strength.","Toxic if ingested.","Self-heading, upright Philodendron often sold as a floor plant; rotate for even shape and remove older, yellowing leaves near the base."
philodendron_black_cardinal,Philodendron ‘Black Cardinal’,Philodendron ‘Black Cardinal’,images/plants/philodendron_black_cardinal.jpg,"Bright to medium indirect light; brighter light deepens dark coloration.","Water when top 3–5 cm (1–2 in) are dry; allow slightly drier periods in winter.","Prefers 50–70% humidity; tolerates 40–50%.","Ideal 18–27°C (64–81°F).","Well-draining aroid mix with bark and perlite.","Feed every 4–6 weeks during active growth.","Toxic if ingested.","Self-heading hybrid with bronze to nearly black leaves; ideal as a statement plant in bright rooms."
philodendron_red_emerald,Philodendron ‘Red Emerald’,Philodendron erubescens ‘Red Emerald’,images/plants/philodendron_red_emerald.jpg,"Bright indirect light; tolerates some gentle morning sun.","Water when top 2–3 cm (1 in) are dry; do not keep waterlogged.","Prefers 55–70% humidity; tolerates around 50%.","Ideal 18–28°C (64–82°F).","Aroid mix: potting soil + bark + perlite.","Feed every 4 weeks in spring and summer.","Toxic if ingested.","Fast-growing climber with red stems and green leaves; provide a moss pole or totem for best leaf size."
philodendron_green_emerald,Philodendron ‘Green Emerald’,Philodendron erubescens ‘Green Emerald’,images/plants/philodendron_green_emerald.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry; slightly less in lower light.","Comfortable at 45–65% humidity.","Ideal 18–27°C (64–81°F).","Well-draining aroid mix.","Feed every 4–6 weeks in the growing season.","Toxic if ingested.","Similar habit to Red Emerald but with greener tones; great for totems or shelves with support."
philodendron_golden_goddess,Philodendron ‘Golden Goddess’,Philodendron sp. ‘Golden Goddess’ (also sold as Malay Gold),images/plants/philodendron_golden_goddess.jpg,"Bright indirect light; color dulls in very low light.","Water when top 2–3 cm are dry; avoid soggy soil.","Prefers 50–70% humidity; tolerates typical indoor levels (~40–50%).","Ideal 18–28°C (64–82°F).","Chunky potting mix with perlite for drainage.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Vining or semi-climbing Philodendron with chartreuse leaves; great beginner-friendly “neon” cultivar."
philodendron_autumn,Philodendron ‘Autumn’,Philodendron ‘Autumn’,images/plants/philodendron_autumn.jpg,"Medium to bright indirect light; brighter light enhances bronze/red tones.","Water when top 3–5 cm (1–2 in) are dry; do not overwater.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Rich, well-draining indoor potting mix.","Feed every 4–6 weeks in spring and summer.","Toxic if ingested.","Self-heading variety with new leaves emerging copper to red and maturing green; used frequently as a colorful foliage plant in garden centers."
philodendron_jungle_boogie,Philodendron ‘Jungle Boogie’ (Narrow),Philodendron hybrid (often P. ‘Narrow’),images/plants/philodendron_jungle_boogie.jpg,"Bright to medium indirect light; tolerates a bit of gentle direct sun.","Water when top 3–5 cm are dry; slightly drier in winter.","Comfortable at 40–60% humidity; appreciates 50–70%.","Ideal 18–28°C (64–82°F).","Aroid mix with bark and perlite.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Long, narrow, heavily toothed leaves; excellent modern-looking plant for bright spots with room to spread."
philodendron_golden_dragon,Philodendron ‘Golden Dragon’,Philodendron hybrid ‘Golden Dragon’,images/plants/philodendron_golden_dragon.jpg,"Bright indirect light; some morning sun may be tolerated.","Water when top 3–5 cm are dry; avoid waterlogging.","Prefers 50–70% humidity.","Ideal 18–28°C (64–82°F).","Chunky aroid mix.","Feed every 4–6 weeks while actively growing.","Toxic if ingested.","Large, deeply lobed leaves with mottled variegation; provide a sturdy stake or moss pole and ample space."
philodendron_crocodile,Philodendron ‘Crocodile’,Philodendron sp. ‘Crocodile’,images/plants/philodendron_crocodile.jpg,"Medium to bright indirect light.","Water when top 3–5 cm are dry; slightly more in warm, bright rooms.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Well-draining potting mix.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Leaves have a rough, serrated texture reminiscent of crocodile skin; makes a striking floor or table plant."
philodendron_florida_green,Philodendron ‘Florida Green’,Philodendron hybrid (often squamiferum × pedatum),images/plants/philodendron_florida_green.jpg,"Bright indirect light; avoids harsh direct sun.","Water when top 2–3 cm are dry; do not allow mix to stay soggy.","Prefers 55–75% humidity; tolerates around 50%.","Ideal 18–28°C (64–82°F).","Aroid mix with bark, perlite, and some coco/peat.","Feed every 4–6 weeks in warm months.","Toxic if ingested.","Distinct multi-lobed leaves; climbs well on a pole and fits the “collector but manageable” space."
philodendron_florida_ghost,Philodendron ‘Florida Ghost’,Philodendron hybrid ‘Florida Ghost’,images/plants/philodendron_florida_ghost.jpg,"Bright indirect light; essential to maintain pale/cream new leaves.","Water when top 2–3 cm are dry; avoid drying out for long periods.","Prefers 60–75% humidity; benefits from 50%+ for best leaf quality.","Ideal 18–27°C (64–81°F).","Very well-draining aroid mix with high bark content.","Feed lightly every 4–6 weeks; avoid heavy feeding that can push more green growth.","Toxic if ingested.","New leaves emerge very pale, then slowly green; protect from harsh sun to prevent burn, and provide climbing support."
philodendron_florida_beauty,Philodendron ‘Florida Beauty’,Philodendron hybrid ‘Florida Beauty’,images/plants/philodendron_florida_beauty.jpg,"Bright, indirect light; high light maintains mottled variegation.","Water when top 2–3 cm are dry; avoid constantly wet soil.","Prefers 60–80% humidity; often shows best variegation with higher humidity.","Ideal 18–26°C (64–79°F).","Airy aroid mix rich in bark/perlite.","Feed every 4–6 weeks during active growth.","Toxic if ingested.","Rare, highly variegated Florida hybrid; prune low-variegation shoots to preserve patterning."
philodendron_camposportoanum,Philodendron Camposportoanum,Philodendron camposportoanum,images/plants/philodendron_camposportoanum.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry; slightly more frequent in warm, bright conditions.","Prefers 55–75% humidity.","Ideal 18–26°C (64–79°F).","Loose, airy aroid mix.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Juvenile leaves are heart-shaped; mature leaves can become trilobed. Climbs and can be grown on a pole or allowed to trail."
philodendron_camposportoanum_variegata,Philodendron Camposportoanum Variegated,Philodendron camposportoanum variegata,images/plants/philodendron_camposportoanum_variegata.jpg,"Bright indirect light; variegation may fade in low light.","Water when top 2–3 cm are dry; avoid extremes of drought or saturation.","Prefers 60–80% humidity.","Ideal 18–26°C (64–79°F).","Airy aroid mix with bark/perlite/moss.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Provide even bright light and prune greener stems to keep variegation; good candidate for a narrow, tall moss pole."
philodendron_rugosum,Philodendron Rugosum (Pigskin Philodendron),Philodendron rugosum,images/plants/philodendron_rugosum.jpg,"Bright, indirect light.","Keep soil lightly moist; water when top 2–3 cm are dry.","Prefers 60–80% humidity; can struggle below 50%.","Ideal 18–26°C (64–79°F).","Chunky aroid mix with extra aeration.","Feed every 4–6 weeks during active growth.","Toxic if ingested.","Thick, textured leaves resemble pigskin; best suited for collectors with good humidity and airflow."
philodendron_atabapoense,Philodendron Atabapoense,Philodendron atabapoense,images/plants/philodendron_atabapoense.jpg,"Bright indirect light; some gentle morning sun is tolerated.","Water when top 2–3 cm are dry; do not let stay soggy.","Prefers 60–80% humidity; best above 50%.","Ideal 18–27°C (64–81°F).","Very airy aroid mix; likes high oxygen around roots.","Feed every 4–6 weeks at low strength.","Toxic if ingested.","Long, narrow leaves with burgundy undersides; give a tall, sturdy pole and warm, humid conditions."
